-0.175488	0.181401	-0.0173574	0	0
-0.175071	0.180506	0.0177213	0	0
-0.175352	0.181128	-0.00931511	0	0
-0.175351	0.181002	0.00174874	0	0
-0.175325	0.181225	-0.00845149	0	0
-0.175134	0.180745	-0.0115316	0	0
-0.175187	0.18092	0.000227586	0	0
-0.175461	0.181237	-0.0162513	0	0
-0.175351	0.181002	-0.00392265	0	0
-0.175488	0.181401	-0.00407017	0	0
-0.175405	0.18093	-0.0121051	0	0.5
-0.175187	0.18092	-0.00883423	0	0.5
-0.175678	0.181225	-0.0392333	0	0.5
-0.175937	0.180984	-0.201777	0	0.5
-0.171139	0.180158	-0.467292	0	0.5
-0.162983	0.17685	-0.69152	0	0
-0.152658	0.16935	-0.94116	0	0
-0.144185	0.159302	-1.28584	0	0
-0.140168	0.144742	-1.60831	0	0
-0.138697	0.137959	-1.69988	0	0
-0.138924	0.136453	-1.71152	0	0
-0.139149	0.136313	-1.70528	0	0
-0.139166	0.136416	-1.71883	0	0
-0.139321	0.136407	-1.70751	0	0
-0.139282	0.136302	-1.71609	0	0
-0.13938	0.13654	-1.70345	0	-0.5
-0.138638	0.136653	-1.72534	0	-0.5
-0.139232	0.136736	-1.68803	0	-0.5
-0.137537	0.140068	-1.60231	0	-0.5
-0.137758	0.145587	-1.42036	0	-0.5
-0.139291	0.154139	-1.17222	0	0
-0.144413	0.165128	-0.938542	0	0
-0.154446	0.175779	-0.662967	0	0
-0.166193	0.182607	-0.398387	0	0
-0.170731	0.185543	-0.245187	0	0
-0.172775	0.186548	-0.224633	0	0
-0.172775	0.186798	-0.242226	0	0
-0.172707	0.186605	-0.216474	0	0
-0.172665	0.186699	-0.217293	0	0
-0.172652	0.186045	-0.222335	0	0
